Date,Temperature,Humidity,Rainfall,Location
2026-04-20,28.5,82,1.8,Jalan Damansara Kuala Lumpur
2026-04-21,26.4,88.13,6.2,Jalan Damansara Kuala Lumpur
2026-04-22,28.35,80.5,1.4,Jalan Damansara Kuala Lumpur
2026-04-23,29.15,75.38,0.4,Jalan Damansara Kuala Lumpur
2026-04-24,29.95,75,5.3,Jalan Damansara Kuala Lumpur
2026-04-25,29.3,81.58,8,Jalan Damansara Kuala Lumpur
2026-04-26,29.6,75.63,0.8,Jalan Damansara Kuala Lumpur
2026-04-27,30.15,73.17,2.2,Jalan Damansara Kuala Lumpur
2026-04-28,30.85,70.33,1.1,Jalan Damansara Kuala Lumpur
2026-04-21,26.05,88.5,6.1,Jalan Bahagia Petaling Jaya
2026-04-22,28.4,79.88,5.3,Jalan Bahagia Petaling Jaya
2026-04-23,29.15,75.58,0.3,Jalan Bahagia Petaling Jaya
2026-04-24,29.8,75.63,5.9,Jalan Bahagia Petaling Jaya
2026-04-25,29.1,82.54,7.2,Jalan Bahagia Petaling Jaya
2026-04-26,29.3,77.08,0.9,Jalan Bahagia Petaling Jaya
2026-04-27,30.75,70.83,1.9,Jalan Bahagia Petaling Jaya
2026-04-28,30.9,70.58,2.2,Jalan Bahagia Petaling Jaya
2026-04-28,33,56,14,Kuala Lumpur
2026-04-28,29,75,14.6,Shah Alam
2026-04-30,29.55,78.08,8.4,Jalan Damansara Kuala Lumpur
2026-05-01,29.25,81.25,10.8,Jalan Damansara Kuala Lumpur
2026-05-02,28.45,83.5,5.5,Jalan Damansara Kuala Lumpur
2026-05-03,28.25,86.29,13.4,Jalan Damansara Kuala Lumpur
2026-05-04,28.2,86.29,6,Jalan Damansara Kuala Lumpur
2026-05-05,28.7,82.67,5.6,Jalan Damansara Kuala Lumpur
2026-05-06,27.6,87.67,12.8,Jalan Damansara Kuala Lumpur
2026-04-21,26.05,88.5,6.1,Jalan Bahagia Petaling Jaya
2026-04-22,28.4,79.88,5.3,Jalan Bahagia Petaling Jaya
2026-04-23,29.15,75.58,0.3,Jalan Bahagia Petaling Jaya
2026-04-24,29.8,75.63,5.9,Jalan Bahagia Petaling Jaya
2026-04-25,29.1,82.54,7.2,Jalan Bahagia Petaling Jaya
2026-04-26,29.3,77.08,0.9,Jalan Bahagia Petaling Jaya
2026-04-27,30.75,70.83,1.9,Jalan Bahagia Petaling Jaya
2026-04-28,30.9,70.58,2.2,Jalan Bahagia Petaling Jaya
2026-04-28,33,56,14,Kuala Lumpur
2026-04-28,29,75,14.6,Shah Alam
2026-04-30,29.15,79.67,15.7,Jalan Bahagia Petaling Jaya
2026-05-01,28.8,81.88,17.4,Jalan Bahagia Petaling Jaya
2026-05-02,28.5,81.71,3.2,Jalan Bahagia Petaling Jaya
2026-05-03,27.55,85.83,12.2,Jalan Bahagia Petaling Jaya
2026-05-04,27.7,86.96,7.2,Jalan Bahagia Petaling Jaya
2026-05-05,28.2,83.08,4.3,Jalan Bahagia Petaling Jaya
2026-05-06,27.3,87,13.9,Jalan Bahagia Petaling Jaya
2026-05-30,27.55,86.5,10.2,Jalan Bahagia Petaling Jaya
2026-05-23,28.5,75,12.3,Kuala Lumpur
2026-05-07,27.75,86.67,12.4,Jalan Damansara Kuala Lumpur
2026-05-06,30.5,75,2.5,Kuala Lumpur
2026-05-06,30.5,75,2.5,Kuala Lumpur
2026-05-06,30.5,75,2.5,Kuala Lumpur Test Response
2026-06-06,31,75,2.5,Kuala Lumpur
